"SIGLA_UF","COD_MUN_TSE","COD_MUN_IBGE","NOME_UF","CODIGO_MESO","NOME_MESO","CODIGO_MICRO","NOME_MICRO","NOME_MUNICIPIO","CODIGO_MACRO","NOME_MACRO"
"MG","49930",3149705,"Minas Gerais","9","Oeste de Minas","43","Divinópolis","Perdigão","3","Sudeste"
"MG","49956",3149804,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","23","Araxá","Perdizes","3","Sudeste"
"MG","49972",3149903,"Minas Gerais","9","Oeste de Minas","45","Campo Belo","Perdões","3","Sudeste"
"MG","40568",3149952,"Minas Gerais","8","Vale do Rio Doce","39","Ipatinga","Periquito","3","Sudeste"
"MG","49999",3150000,"Minas Gerais","8","Vale do Rio Doce","37","Governador Valadares","Pescador","3","Sudeste"
"MG","50016",3150109,"Minas Gerais","12","Zona da Mata","65","Juiz de Fora","Piau","3","Sudeste"
"MG","41343",3150158,"Minas Gerais","8","Vale do Rio Doce","40","Caratinga","Piedade de Caratinga","3","Sudeste"
"MG","50032",3150208,"Minas Gerais","12","Zona da Mata","60","Ponte Nova","Piedade de Ponte Nova","3","Sudeste"
"MG","50059",3150307,"Minas Gerais","11","Campo das Vertentes","58","São João Del Rei","Piedade do Rio Grande","3","Sudeste"
"MG","50075",3150406,"Minas Gerais","7","Metropolitana de Belo Horizonte","32","Itaguara","Piedade dos Gerais","3","Sudeste"
"MG","50091",3150505,"Minas Gerais","9","Oeste de Minas","44","Formiga","Pimenta","3","Sudeste"
"MG","41360",3150539,"Minas Gerais","8","Vale do Rio Doce","40","Caratinga","Pingo-d'Água","3","Sudeste"
"MG","41386",3150570,"Minas Gerais","2","Norte de Minas","3","Januária","Pintópolis","3","Sudeste"
"MG","50113",3150604,"Minas Gerais","9","Oeste de Minas","46","Oliveira","Piracema","3","Sudeste"
"MG","50130",3150703,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","21","Frutal","Pirajuba","3","Sudeste"
"MG","50156",3150802,"Minas Gerais","12","Zona da Mata","62","Viçosa","Piranga","3","Sudeste"
"MG","50172",3150901,"Minas Gerais","10","Sul/Sudoeste de Minas","56","Itajubá","Piranguçu","3","Sudeste"
"MG","50199",3151008,"Minas Gerais","10","Sul/Sudoeste de Minas","56","Itajubá","Piranguinho","3","Sudeste"
"MG","50210",3151107,"Minas Gerais","12","Zona da Mata","66","Cataguases","Pirapetinga","3","Sudeste"
"MG","50237",3151206,"Minas Gerais","2","Norte de Minas","6","Pirapora","Pirapora","3","Sudeste"
"MG","50253",3151305,"Minas Gerais","12","Zona da Mata","64","Ubá","Piraúba","3","Sudeste"
"MG","50270",3151404,"Minas Gerais","7","Metropolitana de Belo Horizonte","29","Pará de Minas","Pitangui","3","Sudeste"
"MG","50296",3151503,"Minas Gerais","9","Oeste de Minas","42","Piuí","Piumhi","3","Sudeste"
"MG","50318",3151602,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","21","Frutal","Planura","3","Sudeste"
"MG","50334",3151701,"Minas Gerais","10","Sul/Sudoeste de Minas","49","Alfenas","Poço Fundo","3","Sudeste"
"MG","50350",3151800,"Minas Gerais","10","Sul/Sudoeste de Minas","51","Poços de Caldas","Poços de Caldas","3","Sudeste"
"MG","50377",3151909,"Minas Gerais","8","Vale do Rio Doce","41","Aimorés","Pocrane","3","Sudeste"
"MG","50393",3152006,"Minas Gerais","6","Central Mineira","24","Três Marias","Pompéu","3","Sudeste"
"MG","50415",3152105,"Minas Gerais","12","Zona da Mata","60","Ponte Nova","Ponte Nova","3","Sudeste"
"MG","41408",3152131,"Minas Gerais","2","Norte de Minas","7","Montes Claros","Ponto Chique","3","Sudeste"
"MG","40584",3152170,"Minas Gerais","3","Jequitinhonha","12","Araçuaí","Ponto dos Volantes","3","Sudeste"
"MG","50431",3152204,"Minas Gerais","2","Norte de Minas","4","Janaúba","Porteirinha","3","Sudeste"
"MG","50458",3152303,"Minas Gerais","12","Zona da Mata","62","Viçosa","Porto Firme","3","Sudeste"
"MG","50474",3152402,"Minas Gerais","4","Vale do Mucuri","15","Teófilo Otoni","Poté","3","Sudeste"
"MG","50490",3152501,"Minas Gerais","10","Sul/Sudoeste de Minas","52","Pouso Alegre","Pouso Alegre","3","Sudeste"
"MG","50512",3152600,"Minas Gerais","10","Sul/Sudoeste de Minas","54","São Lourenço","Pouso Alto","3","Sudeste"
"MG","50539",3152709,"Minas Gerais","11","Campo das Vertentes","58","São João Del Rei","Prados","3","Sudeste"
"MG","50555",3152808,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","18","Uberlândia","Prata","3","Sudeste"
"MG","50571",3152907,"Minas Gerais","10","Sul/Sudoeste de Minas","47","Passos","Pratápolis","3","Sudeste"
"MG","50598",3153004,"Minas Gerais","5","Triângulo Mineiro/Alto Paranaíba","23","Araxá","Pratinha","3","Sudeste"
"MG","50610",3153103,"Minas Gerais","12","Zona da Mata","62","Viçosa","Presidente Bernardes","3","Sudeste"
"MG","50636",3153202,"Minas Gerais","6","Central Mineira","25","Curvelo","Presidente Juscelino","3","Sudeste"
"MG","50652",3153301,"Minas Gerais","3","Jequitinhonha","10","Diamantina","Presidente Kubitschek","3","Sudeste"
"MG","50679",3153400,"Minas Gerais","1","Noroeste de Minas","2","Paracatu","Presidente Olegário","3","Sudeste"
"MG","50695",3153509,"Minas Gerais","12","Zona da Mata","61","Manhuaçu","Alto Jequitibá","3","Sudeste"
"MG","50717",3153608,"Minas Gerais","7","Metropolitana de Belo Horizonte","27","Sete Lagoas","Prudente de Morais","3","Sudeste"
"MG","50733",3153707,"Minas Gerais","6","Central Mineira","26","Bom Despacho","Quartel Geral","3","Sudeste"
